top,architecture,scope,logical_nets,routable_nets,fully_routed_nets,routing_errors,fully_routed_pct
zu4ev_fir_pipe_systolic_top,board_shell_custom,board_shell,159196,29571,29571,0,100.0
zu4ev_fir_vendor_top,board_shell_vendor_ip,board_shell,130345,22955,22955,0,100.0
