design_id,coef_width,output_width,ap_db,ast_db,overflow_count,acc_width,meets_fixed
q16_o16,16,16,0.0352879017648334,67.7051678621577,0,42,0
q18_o16,18,16,0.0311856472393779,77.1993628794811,0,44,0
q20_o16,20,16,0.0304566619579351,81.3993665787191,0,46,1
q22_o16,22,16,0.0303944977857457,83.5251427214511,0,48,1
q24_o16,24,16,0.030369123812583,84.010662134996,0,50,1
