top,architecture,scope,source,destination,requirement_ns,wns_ns,data_path_delay_ns,logic_delay_ns,route_delay_ns,logic_fraction_pct,route_fraction_pct,logic_levels
zu4ev_fir_pipe_systolic_top,board_shell_custom,board_shell,fir_mpsoc_system_i/fir_shell_0/inst/u_shell/u_shell/g_pipe.u_core/acc_pipe_reg[130][45]/C,fir_mpsoc_system_i/fir_shell_0/inst/u_shell/u_shell/u_output_fifo/mem_reg_bram_0/DINADIN[0],3.75,0.458,2.859,1.348,1.511,47.149,52.851,13
zu4ev_fir_vendor_top,board_shell_vendor_ip,board_shell,fir_mpsoc_system_i/fir_shell_0/inst/u_shell/u_shell/g_vendor.u_core/u_vendor_ip/U0/i_synth/g_single_rate.i_single_rate/g_m_data_chan_no_fifo.m_axis_data_tdata_int_reg[7]/C,fir_mpsoc_system_i/fir_shell_0/inst/u_shell/u_shell/u_output_fifo/mem_reg_bram_0/DINADIN[2],3.75,0.452,2.877,1.263,1.614,43.9,56.1,11
