index,coefficient
0,2.57250271669437e-05
1,0.000109563028504171
2,0.000151698280419532
3,0.000215929209848325
4,0.000239409990276585
5,0.000217587165087436
6,0.000141759256828692
7,2.88454511737106e-05
8,-8.86887073790466e-05
9,-0.000170116291910918
10,-0.000182901983074951
11,-0.000117389613963904
12,5.44591864779943e-06
13,0.000138429918325485
14,0.000224738412401699
15,0.000221141139864949
16,0.000118663466232218
17,-4.90565554581215e-05
18,-0.000215270436163511
19,-0.00030569321671901
20,-0.000270760327674751
21,-0.000110893610553802
22,0.000117493073833689
23,0.000320447089574538
24,0.00040417192701978
25,0.000317296640415244
26,7.90028634128166e-05
27,-0.000221348434944525
28,-0.000456352209235412
29,-0.000513550847871086
30,-0.000347809827574287
31,-9.12500685266041e-06
32,0.000369462369704635
33,0.000622785219173231
34,0.000624384711849336
35,0.000347526496454648
36,-0.000112320709631649
37,-0.000567884215407412
38,-0.000814965889982124
39,-0.000722506908132979
40,-0.000298752865010514
41,0.000298687055631221
42,0.000819192155693526
43,0.00102281354772747
44,0.000788956829180892
45,0.000181766381225473
46,-0.000561443510068081
47,-0.00112080867450512
48,-0.00122992761937333
49,-0.000800066620603139
50,2.40803032737673e-05
51,0.000908652631650388
52,0.00146376554499312
53,0.00141327129781742
54,0.000728314615234746
55,-0.000338583780461985
56,-0.00134295224271083
57,-0.00183119040492153
58,-0.00154286689261206
59,-0.000543340539991478
60,0.000778903520297318
61,0.00185971683461028
62,0.0021974184162617
63,0.00158228885247919
64,0.000213501064346324
65,-0.00135741915469359
66,-0.00244536622958286
67,-0.00252747396834153
68,-0.00148926658189731
69,0.000292395923948149
70,0.00207978706906737
71,0.00307609731285364
72,0.0027766558121428
73,0.00121672648027581
74,-0.00100339090633696
75,-0.00294328677271251
76,-0.00371660829995206
77,-0.00289061781330011
78,-0.000713487674435012
79,0.0019451584402242
80,0.0039355662446194
81,0.00431950946927432
82,0.00280486939765084
83,-7.56823723798207e-05
84,-0.00313989050534161
85,-0.00503423403357275
86,-0.0048243035908181
87,-0.00244333182896937
88,0.00121206822009634
89,0.00460778982192484
90,0.00620709055078527
91,0.00515527222236921
92,0.00171374199641984
93,-0.0027689891930171
94,-0.00637224246098596
95,-0.00741335600510501
96,-0.00521664233124734
97,-0.000496502581763797
98,0.0048461433141454
99,0.00847144061674302
100,0.00860564399981288
101,0.00487995040611862
102,-0.00138214374380715
103,-0.00760307410333681
104,-0.0109845892268171
105,-0.00973284473756705
106,-0.00395227056121754
107,0.00421558180676137
108,0.0113403066578689
109,0.0140945294431523
110,0.0107430644880637
111,0.00208815889929085
112,-0.00859714996557411
113,-0.0167264698350027
114,-0.0182663395195069
115,-0.0115875560898504
116,0.00149301417459737
117,0.0160197737593174
118,0.0255907914785245
119,0.0249043960582212
120,0.0122236648089581
121,-0.0092441580805018
122,-0.0317306090596929
123,-0.0451090815830269
124,-0.0402828314318554
125,-0.0126196393390191
126,0.0358142242312115
127,0.0961187611187629
128,0.154722266823816
129,0.197232994228215
130,0.212753899799844
131,0.197232994228215
132,0.154722266823816
133,0.0961187611187629
134,0.0358142242312115
135,-0.0126196393390191
136,-0.0402828314318554
137,-0.0451090815830269
138,-0.0317306090596929
139,-0.0092441580805018
140,0.0122236648089581
141,0.0249043960582212
142,0.0255907914785245
143,0.0160197737593174
144,0.00149301417459737
145,-0.0115875560898504
146,-0.0182663395195069
147,-0.0167264698350027
148,-0.00859714996557411
149,0.00208815889929085
150,0.0107430644880637
151,0.0140945294431523
152,0.0113403066578689
153,0.00421558180676137
154,-0.00395227056121754
155,-0.00973284473756705
156,-0.0109845892268171
157,-0.00760307410333681
158,-0.00138214374380715
159,0.00487995040611862
160,0.00860564399981288
161,0.00847144061674302
162,0.0048461433141454
163,-0.000496502581763797
164,-0.00521664233124734
165,-0.00741335600510501
166,-0.00637224246098596
167,-0.0027689891930171
168,0.00171374199641984
169,0.00515527222236921
170,0.00620709055078527
171,0.00460778982192484
172,0.00121206822009634
173,-0.00244333182896937
174,-0.0048243035908181
175,-0.00503423403357275
176,-0.00313989050534161
177,-7.56823723798207e-05
178,0.00280486939765084
179,0.00431950946927432
180,0.0039355662446194
181,0.0019451584402242
182,-0.000713487674435012
183,-0.00289061781330011
184,-0.00371660829995206
185,-0.00294328677271251
186,-0.00100339090633696
187,0.00121672648027581
188,0.0027766558121428
189,0.00307609731285364
190,0.00207978706906737
191,0.000292395923948149
192,-0.00148926658189731
193,-0.00252747396834153
194,-0.00244536622958286
195,-0.00135741915469359
196,0.000213501064346324
197,0.00158228885247919
198,0.0021974184162617
199,0.00185971683461028
200,0.000778903520297318
201,-0.000543340539991478
202,-0.00154286689261206
203,-0.00183119040492153
204,-0.00134295224271083
205,-0.000338583780461985
206,0.000728314615234746
207,0.00141327129781742
208,0.00146376554499312
209,0.000908652631650388
210,2.40803032737673e-05
211,-0.000800066620603139
212,-0.00122992761937333
213,-0.00112080867450512
214,-0.000561443510068081
215,0.000181766381225473
216,0.000788956829180892
217,0.00102281354772747
218,0.000819192155693526
219,0.000298687055631221
220,-0.000298752865010514
221,-0.000722506908132979
222,-0.000814965889982124
223,-0.000567884215407412
224,-0.000112320709631649
225,0.000347526496454648
226,0.000624384711849336
227,0.000622785219173231
228,0.000369462369704635
229,-9.12500685266041e-06
230,-0.000347809827574287
231,-0.000513550847871086
232,-0.000456352209235412
233,-0.000221348434944525
234,7.90028634128166e-05
235,0.000317296640415244
236,0.00040417192701978
237,0.000320447089574538
238,0.000117493073833689
239,-0.000110893610553802
240,-0.000270760327674751
241,-0.00030569321671901
242,-0.000215270436163511
243,-4.90565554581215e-05
244,0.000118663466232218
245,0.000221141139864949
246,0.000224738412401699
247,0.000138429918325485
248,5.44591864779943e-06
249,-0.000117389613963904
250,-0.000182901983074951
251,-0.000170116291910918
252,-8.86887073790466e-05
253,2.88454511737106e-05
254,0.000141759256828692
255,0.000217587165087436
256,0.000239409990276585
257,0.000215929209848325
258,0.000151698280419532
259,0.000109563028504171
260,2.57250271669437e-05
